Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
1.0,geometry.fan,geometry.fan,
1.0,material.heater,material.heater,
2.0,temperature.motor,temperature.motor,
2.0,material.fan,material.fan,
2.0,power.fan,power.fan,
3.0,geometry.motor,geometry.motor,
3.0,temperature.heater,temperature.motor,
3.0,power.heater,geometry.fan,
3.0,material.body,power.fan,
3.0,material.heater,material.heater,
4.0,geometry.nozzle,temperature.motor,
4.0,geometry.heater,geometry.fan,
4.0,temperature.heater,material.body,
5.0,geometry.fan,geometry.motor,
5.0,geometry.motor,power.fan,
5.0,temperature.heater,power.fan,
5.0,material.motor,geometry.heater,
5.0,power.fan,power.heater,
5.0,geometry.heater,material.body,
5.0,geometry.nozzle,material.body,
5.0,temperature.nozzle,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
