Tick,Attribute.Component,Origin,Failed Behaviour
0.0,temperature.motor,temperature.motor,
0.0,material.fan,material.fan,
0.0,material.body,material.body,
1.0,geometry.motor,geometry.motor,
1.0,material.motor,material.motor,
1.0,temperature.heater,temperature.motor,
1.0,geometry.fan,geometry.fan,
1.0,rot.speed.fan,rot.speed.fan,
1.0,power.heater,power.heater,
2.0,geometry.nozzle,temperature.motor,
2.0,material.heater,material.heater,
2.0,power.fan,material.body,
2.0,geometry.nozzle,material.body,
3.0,power.fan,geometry.motor,
3.0,geometry.motor,geometry.fan,
3.0,material.nozzle,rot.speed.fan,
3.0,temperature.nozzle,rot.speed.fan,
3.0,geometry.heater,material.fan,
3.0,material.nozzle,material.fan,
3.0,power.fan,power.heater,
3.0,geometry.body,temperature.heater,
3.0,temperature.motor,material.body,
3.0,geometry.heater,material.body,
4.0,material.motor,geometry.heater,
4.0,material.heater,material.heater,
4.0,geometry.fan,power.heater,
4.0,geometry.heater,power.heater,
4.0,material.nozzle,power.heater,
4.0,power.fan,temperature.heater,
4.0,material.body,temperature.heater,
4.0,power.fan,geometry.nozzle,
4.0,temperature.nozzle,geometry.nozzle,
5.0,power.motor,power.motor,
5.0,geometry.fan,material.fan,
5.0,material.body,material.fan,
5.0,material.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
