Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.fan,material.fan,
0.0,power.heater,power.heater,
1.0,material.motor,material.motor,
1.0,material.nozzle,power.heater,
2.0,geometry.heater,material.motor,
2.0,material.motor,power.heater,
2.0,geometry.heater,power.heater,
2.0,temperature.heater,temperature.heater,
2.0,geometry.nozzle,geometry.nozzle,
3.0,geometry.heater,material.fan,
3.0,geometry.nozzle,material.fan,
3.0,power.fan,power.fan,
3.0,material.heater,material.heater,
3.0,geometry.fan,power.heater,
3.0,temperature.motor,temperature.heater,
3.0,temperature.nozzle,temperature.heater,
3.0,material.body,temperature.heater,
3.0,rot.speed.fan,material.nozzle,
3.0,geometry.body,material.nozzle,
4.0,geometry.body,temperature.heater,
4.0,material.body,material.nozzle,
5.0,geometry.nozzle,temperature.motor,
5.0,geometry.motor,geometry.fan,
5.0,temperature.nozzle,rot.speed.fan,
5.0,geometry.fan,material.fan,
5.0,power.heater,power.fan,
5.0,geometry.nozzle,power.fan,
5.0,material.body,power.fan,
5.0,material.body,geometry.heater,
5.0,temperature.nozzle,material.nozzle,
6.0,temperature.motor,material.motor,
6.0,temperature.heater,power.fan,
6.0,geometry.fan,geometry.heater,
7.0,power.fan,geometry.motor,
7.0,geometry.motor,material.motor,
7.0,rot.speed.fan,material.motor,
7.0,material.body,material.motor,
7.0,power.motor,geometry.heater,
7.0,temperature.motor,geometry.heater,
7.0,material.heater,material.heater,
7.0,temperature.nozzle,geometry.nozzle,
7.0,material.body,geometry.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
