Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,material.heater,material.heater,
1.0,temperature.motor,temperature.motor,
1.0,temperature.heater,temperature.heater,
2.0,geometry.fan,geometry.fan,
2.0,rot.speed.fan,rot.speed.fan,
2.0,power.fan,power.fan,
2.0,material.heater,material.heater,
2.0,temperature.motor,temperature.heater,
2.0,material.body,temperature.heater,
3.0,material.body,power.fan,
3.0,geometry.body,temperature.heater,
4.0,temperature.motor,geometry.motor,
4.0,material.heater,geometry.motor,
4.0,geometry.motor,geometry.fan,
4.0,material.nozzle,rot.speed.fan,
4.0,material.fan,material.fan,
4.0,geometry.motor,power.fan,
4.0,power.fan,temperature.heater,
5.0,temperature.nozzle,temperature.heater,
5.0,power.heater,material.nozzle,
5.0,material.body,material.nozzle,
5.0,material.nozzle,geometry.body,
6.0,geometry.nozzle,temperature.motor,
6.0,temperature.motor,rot.speed.fan,
6.0,temperature.nozzle,rot.speed.fan,
6.0,geometry.nozzle,power.fan,
6.0,material.body,geometry.body,
7.0,material.fan,geometry.fan,
7.0,geometry.heater,geometry.fan,
7.0,power.heater,power.fan,
8.0,power.heater,geometry.motor,
8.0,geometry.nozzle,geometry.fan,
8.0,material.motor,rot.speed.fan,
8.0,geometry.heater,power.fan,
8.0,material.body,material.heater,
8.0,material.body,temperature.nozzle,
9.0,material.motor,geometry.motor,
9.0,material.motor,geometry.heater,
9.0,temperature.nozzle,material.heater,
9.0,geometry.nozzle,geometry.body,
9.0,geometry.body,geometry.body,
10.0,power.motor,power.motor,
10.0,material.motor,temperature.motor,
10.0,geometry.heater,temperature.motor,
10.0,geometry.heater,power.heater,
10.0,temperature.nozzle,material.nozzle,
10.0,geometry.nozzle,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
