Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,geometry.fan,geometry.fan,
0.0,rot.speed.fan,rot.speed.fan,
0.0,material.heater,material.heater,
1.0,temperature.heater,temperature.heater,
1.0,geometry.nozzle,geometry.nozzle,
1.0,geometry.body,geometry.body,
2.0,power.motor,power.motor,
2.0,power.heater,geometry.fan,
2.0,material.nozzle,rot.speed.fan,
2.0,temperature.nozzle,rot.speed.fan,
2.0,material.body,temperature.heater,
3.0,geometry.fan,geometry.motor,
3.0,temperature.motor,temperature.motor,
3.0,power.fan,power.fan,
3.0,temperature.nozzle,material.heater,
3.0,temperature.motor,temperature.heater,
3.0,temperature.nozzle,temperature.heater,
3.0,geometry.body,temperature.heater,
3.0,temperature.motor,geometry.nozzle,
3.0,power.fan,geometry.nozzle,
3.0,material.body,geometry.nozzle,
3.0,material.body,material.nozzle,
4.0,power.fan,geometry.motor,
4.0,temperature.motor,rot.speed.fan,
4.0,material.body,material.heater,
4.0,material.nozzle,power.heater,
4.0,power.fan,temperature.heater,
4.0,material.fan,geometry.nozzle,
4.0,temperature.nozzle,geometry.nozzle,
5.0,material.motor,geometry.motor,
5.0,material.fan,geometry.motor,
5.0,material.heater,geometry.motor,
5.0,material.body,power.fan,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
