Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
0.0,material.body,material.body,
1.0,power.fan,material.body,
1.0,material.nozzle,material.body,
2.0,temperature.motor,temperature.motor,
2.0,material.nozzle,rot.speed.fan,
2.0,temperature.nozzle,rot.speed.fan,
2.0,material.heater,material.heater,
2.0,geometry.heater,material.body,
2.0,geometry.nozzle,material.body,
3.0,temperature.heater,temperature.motor,
3.0,geometry.motor,power.fan,
3.0,power.heater,power.fan,
3.0,geometry.nozzle,power.fan,
3.0,material.motor,geometry.heater,
3.0,geometry.body,material.body,
4.0,geometry.nozzle,temperature.motor,
4.0,temperature.motor,rot.speed.fan,
4.0,temperature.heater,power.fan,
4.0,power.heater,geometry.heater,
4.0,temperature.motor,material.body,
4.0,material.heater,material.body,
4.0,temperature.nozzle,material.body,
5.0,geometry.fan,geometry.fan,
5.0,material.body,rot.speed.fan,
5.0,material.fan,geometry.heater,
5.0,material.nozzle,power.heater,
5.0,material.body,temperature.heater,
5.0,material.nozzle,geometry.body,
6.0,material.motor,rot.speed.fan,
6.0,geometry.fan,power.fan,
6.0,geometry.heater,power.fan,
6.0,geometry.body,temperature.heater,
6.0,temperature.nozzle,geometry.nozzle,
7.0,temperature.motor,geometry.motor,
8.0,material.motor,geometry.motor,
8.0,temperature.nozzle,material.heater,
8.0,temperature.nozzle,temperature.heater,
9.0,geometry.fan,geometry.motor,
9.0,material.heater,material.heater,
9.0,geometry.fan,power.heater,
9.0,temperature.heater,geometry.nozzle,
10.0,power.motor,power.motor,
10.0,geometry.fan,material.fan,
10.0,power.motor,geometry.heater,
10.0,temperature.motor,geometry.heater,
10.0,geometry.body,geometry.nozzle,
10.0,material.motor,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
