Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,power.heater,power.heater,
0.0,temperature.heater,temperature.heater,
1.0,temperature.motor,temperature.motor,
1.0,material.heater,material.heater,
1.0,material.nozzle,power.heater,
1.0,temperature.motor,temperature.heater,
1.0,material.body,material.body,
2.0,geometry.body,temperature.heater,
2.0,material.body,temperature.heater,
3.0,temperature.motor,geometry.motor,
3.0,geometry.fan,geometry.motor,
3.0,rot.speed.fan,rot.speed.fan,
3.0,power.fan,power.heater,
3.0,geometry.heater,power.heater,
3.0,power.fan,temperature.heater,
3.0,rot.speed.fan,material.nozzle,
3.0,geometry.body,material.nozzle,
3.0,power.fan,material.body,
3.0,material.nozzle,material.body,
4.0,temperature.nozzle,material.heater,
4.0,geometry.heater,material.body,
4.0,geometry.nozzle,material.body,
5.0,material.motor,geometry.motor,
5.0,geometry.nozzle,temperature.motor,
5.0,power.heater,geometry.fan,
5.0,temperature.nozzle,rot.speed.fan,
5.0,geometry.nozzle,power.fan,
5.0,material.motor,geometry.heater,
5.0,material.body,material.heater,
6.0,material.fan,geometry.motor,
6.0,material.fan,material.nozzle,
7.0,material.motor,temperature.motor,
7.0,geometry.heater,temperature.motor,
7.0,temperature.motor,rot.speed.fan,
7.0,geometry.motor,power.fan,
7.0,geometry.heater,power.fan,
7.0,temperature.nozzle,geometry.nozzle,
7.0,temperature.nozzle,material.nozzle,
8.0,power.motor,power.motor,
8.0,material.fan,geometry.fan,
8.0,geometry.heater,geometry.fan,
8.0,material.motor,power.heater,
8.0,geometry.nozzle,geometry.body,
8.0,geometry.body,geometry.body,
8.0,temperature.motor,material.body,
8.0,temperature.nozzle,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
