Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.fan,power.fan,
1.0,geometry.fan,geometry.fan,
1.0,power.heater,power.heater,
2.0,material.nozzle,power.heater,
3.0,geometry.motor,geometry.fan,
3.0,material.fan,material.fan,
3.0,geometry.motor,power.fan,
3.0,temperature.heater,power.fan,
3.0,geometry.nozzle,power.fan,
3.0,geometry.heater,power.heater,
3.0,material.body,material.nozzle,
4.0,power.heater,geometry.fan,
4.0,material.body,power.fan,
4.0,material.body,temperature.heater,
4.0,geometry.body,material.nozzle,
5.0,geometry.heater,power.fan,
5.0,geometry.body,temperature.heater,
5.0,temperature.motor,geometry.nozzle,
5.0,material.body,geometry.nozzle,
5.0,rot.speed.fan,material.nozzle,
5.0,material.fan,material.nozzle,
6.0,material.fan,geometry.fan,
6.0,geometry.heater,geometry.fan,
6.0,material.heater,material.heater,
6.0,temperature.nozzle,temperature.heater,
6.0,temperature.nozzle,geometry.nozzle,
7.0,material.heater,geometry.motor,
7.0,temperature.heater,temperature.motor,
7.0,geometry.nozzle,geometry.fan,
7.0,geometry.heater,material.body,
7.0,temperature.nozzle,material.body,
8.0,material.motor,geometry.motor,
8.0,power.motor,geometry.motor,
8.0,temperature.motor,geometry.motor,
8.0,temperature.nozzle,rot.speed.fan,
8.0,power.heater,power.fan,
8.0,material.motor,geometry.heater,
8.0,material.body,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
