Tick,Attribute.Component,Origin,Failed Behaviour
0.0,temperature.motor,temperature.motor,
0.0,material.heater,material.heater,
1.0,temperature.heater,temperature.motor,
1.0,power.fan,power.fan,
2.0,material.motor,material.motor,
2.0,material.body,power.fan,
3.0,geometry.nozzle,temperature.motor,
3.0,material.body,temperature.motor,
3.0,geometry.nozzle,power.fan,
3.0,temperature.nozzle,material.heater,
4.0,power.motor,power.motor,
4.0,geometry.motor,temperature.motor,
4.0,material.motor,temperature.motor,
4.0,rot.speed.fan,temperature.motor,
4.0,geometry.heater,temperature.motor,
4.0,power.heater,power.fan,
4.0,temperature.heater,power.fan,
4.0,geometry.motor,material.heater,
4.0,material.heater,material.heater,
4.0,temperature.heater,temperature.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
