Tick,Attribute.Component,Origin,Failed Behaviour
1.0,material.motor,material.motor,
1.0,geometry.fan,geometry.fan,
1.0,material.heater,material.heater,
1.0,material.body,material.body,
2.0,temperature.motor,temperature.motor,
2.0,rot.speed.fan,rot.speed.fan,
2.0,temperature.heater,temperature.heater,
2.0,power.fan,material.body,
3.0,geometry.heater,material.motor,
3.0,geometry.heater,material.body,
4.0,geometry.motor,geometry.motor,
4.0,temperature.heater,temperature.motor,
4.0,geometry.nozzle,temperature.motor,
4.0,material.nozzle,rot.speed.fan,
4.0,power.heater,power.fan,
4.0,geometry.nozzle,power.fan,
4.0,material.fan,material.body,
4.0,temperature.nozzle,material.body,
4.0,geometry.body,material.body,
5.0,temperature.motor,material.motor,
5.0,geometry.motor,power.fan,
5.0,power.heater,geometry.heater,
5.0,geometry.motor,material.heater,
5.0,material.body,material.heater,
5.0,material.body,material.nozzle,
6.0,geometry.motor,material.motor,
6.0,material.body,material.motor,
6.0,material.fan,geometry.fan,
6.0,power.fan,geometry.fan,
6.0,geometry.nozzle,geometry.fan,
6.0,material.nozzle,power.heater,
6.0,temperature.nozzle,temperature.heater,
6.0,geometry.body,temperature.heater,
6.0,material.body,temperature.heater,
7.0,power.motor,power.motor,
7.0,geometry.motor,geometry.fan,
7.0,material.motor,rot.speed.fan,
7.0,temperature.motor,geometry.heater,
7.0,material.fan,geometry.heater,
7.0,power.fan,geometry.heater,
7.0,temperature.nozzle,material.heater,
7.0,power.fan,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
