Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
0.0,material.heater,material.heater,
1.0,geometry.motor,geometry.motor,
1.0,power.fan,power.fan,
2.0,geometry.fan,geometry.fan,
2.0,material.nozzle,rot.speed.fan,
2.0,material.body,power.fan,
3.0,geometry.fan,geometry.motor,
3.0,power.fan,geometry.motor,
3.0,temperature.nozzle,rot.speed.fan,
3.0,material.heater,material.heater,
3.0,power.heater,material.nozzle,
4.0,power.heater,geometry.motor,
4.0,temperature.heater,temperature.heater,
4.0,geometry.heater,material.body,
4.0,temperature.heater,material.body,
4.0,geometry.nozzle,material.body,
4.0,material.nozzle,material.body,
5.0,temperature.motor,geometry.motor,
5.0,power.heater,geometry.fan,
5.0,geometry.nozzle,power.fan,
5.0,temperature.motor,temperature.heater,
5.0,geometry.nozzle,temperature.nozzle,
5.0,material.body,temperature.nozzle,
6.0,material.motor,geometry.motor,
6.0,geometry.heater,geometry.fan,
6.0,material.fan,material.fan,
6.0,power.heater,power.fan,
6.0,temperature.heater,power.fan,
6.0,temperature.nozzle,material.heater,
7.0,material.heater,geometry.motor,
7.0,geometry.nozzle,temperature.motor,
7.0,geometry.heater,power.fan,
8.0,material.fan,geometry.motor,
8.0,power.heater,material.motor,
8.0,material.fan,geometry.fan,
8.0,temperature.motor,rot.speed.fan,
8.0,material.body,rot.speed.fan,
8.0,temperature.nozzle,material.nozzle,
9.0,power.motor,geometry.motor,
9.0,geometry.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
