Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,material.heater,material.heater,
0.0,power.heater,power.heater,
1.0,power.fan,power.fan,
2.0,material.motor,material.motor,
2.0,material.body,power.fan,
2.0,geometry.fan,power.heater,
3.0,geometry.heater,material.motor,
3.0,rot.speed.fan,rot.speed.fan,
3.0,temperature.nozzle,material.heater,
3.0,geometry.heater,power.heater,
3.0,material.nozzle,power.heater,
3.0,material.nozzle,material.body,
4.0,geometry.motor,geometry.motor,
4.0,geometry.heater,power.motor,
4.0,geometry.motor,geometry.fan,
4.0,power.heater,power.fan,
4.0,temperature.heater,power.fan,
4.0,geometry.nozzle,power.fan,
4.0,temperature.heater,temperature.nozzle,
4.0,geometry.heater,material.body,
4.0,geometry.nozzle,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
