Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.motor,material.motor,
0.0,temperature.motor,temperature.motor,
0.0,material.heater,material.heater,
1.0,geometry.motor,geometry.motor,
1.0,temperature.heater,temperature.motor,
1.0,material.fan,material.fan,
1.0,geometry.nozzle,geometry.nozzle,
2.0,geometry.heater,material.motor,
2.0,geometry.nozzle,temperature.motor,
2.0,power.fan,power.fan,
2.0,power.heater,power.heater,
3.0,geometry.motor,temperature.motor,
3.0,geometry.fan,geometry.fan,
3.0,material.body,power.fan,
3.0,material.heater,material.heater,
3.0,geometry.body,temperature.heater,
4.0,temperature.motor,material.motor,
4.0,geometry.heater,material.fan,
4.0,geometry.motor,power.fan,
4.0,power.heater,power.fan,
4.0,geometry.nozzle,power.fan,
4.0,power.fan,temperature.heater,
4.0,material.body,temperature.heater,
5.0,geometry.motor,material.motor,
5.0,material.body,material.motor,
5.0,geometry.motor,geometry.fan,
5.0,rot.speed.fan,rot.speed.fan,
5.0,material.nozzle,material.fan,
5.0,material.nozzle,power.heater,
6.0,geometry.fan,material.fan,
6.0,power.heater,geometry.heater,
6.0,material.body,geometry.heater,
6.0,temperature.nozzle,geometry.nozzle,
6.0,material.body,geometry.nozzle,
6.0,material.nozzle,geometry.body,
6.0,material.body,geometry.body,
7.0,material.nozzle,rot.speed.fan,
7.0,temperature.nozzle,material.heater,
7.0,material.body,material.heater,
8.0,power.heater,geometry.motor,
8.0,rot.speed.fan,material.motor,
8.0,geometry.heater,temperature.motor,
8.0,material.body,temperature.motor,
8.0,power.heater,geometry.fan,
8.0,geometry.motor,material.fan,
8.0,geometry.fan,power.fan,
8.0,geometry.heater,power.fan,
8.0,temperature.nozzle,temperature.heater,
8.0,material.body,material.nozzle,
9.0,rot.speed.fan,temperature.motor,
9.0,geometry.motor,material.heater,
9.0,geometry.nozzle,temperature.heater,
9.0,geometry.nozzle,geometry.body,
10.0,material.body,temperature.nozzle,
11.0,temperature.nozzle,material.nozzle,
12.0,power.motor,geometry.heater,
12.0,geometry.fan,geometry.heater,
12.0,material.fan,geometry.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
