Tick,Attribute.Component,Origin,Failed Behaviour
1.0,temperature.heater,temperature.heater,
1.0,material.body,material.body,
2.0,geometry.fan,geometry.fan,
2.0,material.heater,material.heater,
2.0,temperature.nozzle,temperature.heater,
2.0,power.fan,material.body,
3.0,temperature.motor,temperature.heater,
3.0,geometry.body,temperature.heater,
3.0,temperature.heater,material.body,
3.0,geometry.nozzle,material.body,
3.0,material.nozzle,material.body,
4.0,power.motor,power.motor,
4.0,geometry.nozzle,power.fan,
4.0,power.heater,material.nozzle,
4.0,rot.speed.fan,temperature.nozzle,
4.0,geometry.nozzle,temperature.nozzle,
4.0,material.body,temperature.nozzle,
5.0,geometry.motor,geometry.motor,
5.0,geometry.nozzle,temperature.motor,
5.0,geometry.heater,geometry.fan,
5.0,power.heater,geometry.fan,
5.0,temperature.heater,power.fan,
5.0,temperature.nozzle,material.heater,
5.0,rot.speed.fan,material.nozzle,
6.0,geometry.heater,power.fan,
6.0,geometry.motor,material.heater,
6.0,material.body,material.heater,
7.0,material.motor,material.motor,
7.0,geometry.motor,temperature.motor,
7.0,material.motor,temperature.motor,
7.0,rot.speed.fan,temperature.motor,
7.0,geometry.heater,temperature.motor,
7.0,material.fan,geometry.fan,
7.0,temperature.nozzle,material.nozzle,
7.0,geometry.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
