Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
0.0,material.fan,material.fan,
0.0,power.fan,power.fan,
0.0,geometry.nozzle,geometry.nozzle,
1.0,geometry.fan,geometry.fan,
1.0,power.heater,power.heater,
2.0,material.nozzle,rot.speed.fan,
2.0,temperature.nozzle,rot.speed.fan,
2.0,geometry.nozzle,power.fan,
2.0,material.body,power.fan,
2.0,material.nozzle,power.heater,
3.0,geometry.motor,geometry.motor,
3.0,geometry.motor,geometry.fan,
3.0,geometry.heater,material.fan,
3.0,geometry.motor,power.fan,
3.0,power.heater,power.fan,
3.0,temperature.heater,power.fan,
3.0,material.body,material.nozzle,
4.0,temperature.motor,temperature.motor,
4.0,geometry.heater,geometry.fan,
4.0,power.heater,geometry.fan,
4.0,temperature.motor,rot.speed.fan,
4.0,material.nozzle,material.fan,
4.0,geometry.heater,power.fan,
4.0,temperature.nozzle,geometry.nozzle,
4.0,material.body,geometry.nozzle,
5.0,geometry.fan,material.fan,
5.0,material.motor,geometry.heater,
5.0,geometry.body,temperature.heater,
6.0,geometry.nozzle,temperature.motor,
6.0,power.heater,geometry.heater,
6.0,material.body,temperature.nozzle,
7.0,temperature.motor,geometry.motor,
7.0,material.body,rot.speed.fan,
7.0,material.body,geometry.heater,
7.0,material.heater,temperature.nozzle,
7.0,material.nozzle,geometry.body,
8.0,material.motor,geometry.motor,
8.0,power.motor,geometry.heater,
8.0,temperature.motor,geometry.heater,
8.0,temperature.nozzle,temperature.heater,
8.0,temperature.heater,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
