Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.heater,power.heater,
0.0,temperature.heater,temperature.heater,
0.0,geometry.body,geometry.body,
0.0,material.body,material.body,
1.0,rot.speed.fan,rot.speed.fan,
1.0,material.nozzle,power.heater,
1.0,temperature.motor,temperature.heater,
1.0,power.fan,material.body,
2.0,power.motor,power.motor,
2.0,power.fan,power.heater,
2.0,temperature.nozzle,temperature.heater,
2.0,geometry.body,temperature.heater,
2.0,geometry.nozzle,material.body,
3.0,material.motor,material.motor,
3.0,material.nozzle,rot.speed.fan,
3.0,geometry.heater,power.heater,
3.0,power.fan,temperature.heater,
3.0,material.nozzle,material.body,
3.0,temperature.nozzle,material.body,
4.0,geometry.motor,geometry.motor,
4.0,geometry.nozzle,temperature.motor,
4.0,material.motor,geometry.heater,
4.0,material.heater,material.heater,
4.0,material.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
