Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,power.motor,power.motor,
0.0,power.fan,power.fan,
0.0,material.body,material.body,
1.0,temperature.motor,temperature.motor,
1.0,geometry.fan,geometry.fan,
1.0,material.body,power.fan,
2.0,temperature.heater,temperature.motor,
2.0,geometry.nozzle,power.fan,
2.0,temperature.heater,material.body,
2.0,material.nozzle,material.body,
3.0,geometry.nozzle,temperature.motor,
3.0,geometry.motor,power.fan,
3.0,material.heater,material.heater,
3.0,geometry.heater,material.body,
3.0,geometry.nozzle,material.body,
4.0,geometry.heater,power.motor,
4.0,geometry.motor,temperature.motor,
4.0,material.body,temperature.motor,
4.0,geometry.heater,power.fan,
4.0,power.heater,power.fan,
4.0,temperature.heater,power.fan,
4.0,rot.speed.fan,material.nozzle,
4.0,geometry.body,material.nozzle,
5.0,material.motor,temperature.motor,
5.0,rot.speed.fan,temperature.motor,
5.0,geometry.heater,temperature.motor,
5.0,geometry.heater,geometry.fan,
5.0,material.heater,material.heater,
5.0,temperature.nozzle,geometry.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
